1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
2: bs='500', decay='0.006671835744751276', ep='250', lr='0.09728560503760458', momentum='0.8584574876695164', nh='1000'
3: bs='500', decay='0.00797298889498272', ep='100', lr='0.07189689264119524', momentum='1.009070326587399', nh='1000'
4: bs='500', decay='0.007108723265380284', ep='100', lr='0.04045721441615173', momentum='0.7582739791767679', nh='100'
5: bs='100', decay='0.009949821968380238', ep='250', lr='0.09685216815360434', momentum='1.0317809205520043', nh='100'
6: bs='100', decay='0.007633039980141119', ep='250', lr='0.05121441367502072', momentum='0.774753966153106', nh='1000'
7: bs='100', decay='0.0027229878798547967', ep='250', lr='0.06676844099604433', momentum='0.4439044090147114', nh='100'
8: bs='100', decay='0.009358279254119682', ep='250', lr='0.033073184693384196', momentum='0.3995643626534398', nh='100'
9: bs='100', decay='0.0022418385378619185', ep='250', lr='0.09696445254114246', momentum='0.9929897755602175', nh='100'
10: bs='500', decay='0.0018655507741486', ep='100', lr='0.014480726316417173', momentum='1.0728374588912122', nh='1000'
11: bs='500', decay='0.004667808816200986', ep='100', lr='0.027783744513848976', momentum='0.5066444178379261', nh='100'
12: bs='100', decay='0.001299291074466135', ep='100', lr='0.07228665575669078', momentum='0.6035878625830307', nh='1000'
13: bs='500', decay='0.004584999445388447', ep='250', lr='0.021045736839795336', momentum='1.0033802302164359', nh='1000'
14: bs='500', decay='0.004871629933657266', ep='100', lr='0.04248547961049927', momentum='0.9209976671637639', nh='100'
15: bs='100', decay='0.002662245345153673', ep='100', lr='0.047838822774180556', momentum='1.0045838588039802', nh='1000'
16: bs='100', decay='0.009569363982412595', ep='250', lr='0.09400096391276466', momentum='0.33144091143810966', nh='1000'
17: bs='500', decay='0.00541904667175732', ep='250', lr='0.09784764160875323', momentum='1.0028938201217397', nh='1000'
18: bs='500', decay='0.005869140345704399', ep='100', lr='0.022573135483012853', momentum='1.036995698345558', nh='100'
19: bs='100', decay='0.0034761684193806677', ep='250', lr='0.01247389753879619', momentum='1.004241232857782', nh='1000'
20: bs='500', decay='0.00572567659969726', ep='250', lr='0.09888734220754125', momentum='0.9484868342936923', nh='100'
21: bs='100', decay='0.0034387257183240857', ep='100', lr='0.0658209733189369', momentum='1.0027213611749235', nh='100'
22: bs='100', decay='0.009258081842766372', ep='250', lr='0.0700211924609187', momentum='0.8458048259167397', nh='1000'
23: bs='500', decay='0.004380559858574049', ep='100', lr='0.06482699205994868', momentum='0.9958070103221228', nh='1000'
24: bs='500', decay='0.004061145412509696', ep='250', lr='0.08568878544829518', momentum='1.0811897700768138', nh='100'
25: bs='100', decay='0.0037588516673173586', ep='100', lr='0.06083707693418235', momentum='0.9954811324044515', nh='1000'
26: bs='100', decay='0.0012677099728222233', ep='100', lr='0.09289372490574387', momentum='0.5233952733160214', nh='100'
27: bs='500', decay='0.005037081448089101', ep='250', lr='0.08391616123951798', momentum='0.9955321884328547', nh='1000'
28: bs='500', decay='0.0012496692147382497', ep='100', lr='0.09631065317049314', momentum='0.774125370316336', nh='100'
29: bs='100', decay='7.230022704834429E-4', ep='250', lr='0.0779453423617069', momentum='0.9956557631891083', nh='1000'
30: bs='100', decay='0.005074668196540486', ep='100', lr='0.07209581980891813', momentum='0.5102506090987615', nh='100'
31: bs='100', decay='0.003596180435291048', ep='250', lr='0.05166682071622558', momentum='0.9952587721761923', nh='1000'
32: bs='500', decay='0.009064380487484645', ep='100', lr='0.04371458653148843', momentum='1.0870785160453482', nh='100'
33: bs='100', decay='0.009832440227956039', ep='100', lr='0.0557934466974674', momentum='0.7767965842347251', nh='1000'
34: bs='100', decay='0.009991217135604323', ep='250', lr='0.012748724605277838', momentum='1.0780380465308828', nh='1000'
35: bs='100', decay='0.009964676125251721', ep='250', lr='0.09703553996242636', momentum='0.9813417939126516', nh='1000'
36: bs='100', decay='0.0091247165247851', ep='250', lr='0.022271896821481164', momentum='0.9813798773157927', nh='100'
37: bs='100', decay='0.009822233924850566', ep='250', lr='0.0934639631262257', momentum='0.5217654209191883', nh='1000'
38: bs='500', decay='0.007570016170521636', ep='250', lr='0.024101121373111465', momentum='0.7632814202629447', nh='100'
39: bs='500', decay='0.009810616473027362', ep='250', lr='0.09378873891434876', momentum='0.6276408719106175', nh='1000'
40: bs='500', decay='0.0011469645711884502', ep='250', lr='0.04521577534417613', momentum='0.5632136403370239', nh='1000'
41: bs='100', decay='0.009904887216838', ep='100', lr='0.09586926779904693', momentum='0.435516067327795', nh='1000'
42: bs='500', decay='0.0061810670196242945', ep='100', lr='0.031159035916027873', momentum='0.796991671204409', nh='1000'
43: bs='500', decay='0.009804887049457625', ep='100', lr='0.0931724331681688', momentum='0.6456936492258687', nh='1000'
44: bs='100', decay='0.0030560406784429796', ep='100', lr='0.016817329288708355', momentum='0.4209855395537735', nh='1000'
45: bs='500', decay='0.0023274523786995464', ep='250', lr='0.025842395124098312', momentum='0.5323083777178368', nh='1000'
46: bs='500', decay='0.009010017834176126', ep='100', lr='0.015840073128641545', momentum='0.30965240844030806', nh='1000'
47: bs='100', decay='0.004152109213000914', ep='100', lr='0.01506104052859858', momentum='0.36471336475741695', nh='1000'
48: bs='100', decay='0.008474279593048435', ep='250', lr='0.01612833734276888', momentum='0.7295072248559179', nh='1000'
49: bs='500', decay='0.009636618873541654', ep='100', lr='0.0883023699468069', momentum='0.9423733584075338', nh='1000'
50: bs='100', decay='0.006141802422009908', ep='100', lr='0.012006244819872258', momentum='0.5013848571349797', nh='1000'
51: bs='500', decay='7.974631855446303E-4', ep='250', lr='0.08388761019381367', momentum='0.37431082170873253', nh='100'
52: bs='500', decay='0.0032546475815479477', ep='100', lr='0.016558419972149484', momentum='0.6905840527144929', nh='1000'
53: bs='100', decay='0.005672985407123429', ep='250', lr='0.07846076748626347', momentum='0.7334785733009022', nh='1000'
54: bs='500', decay='0.007006537268240614', ep='100', lr='0.010864867023947782', momentum='0.628349691825957', nh='1000'
55: bs='500', decay='0.006942874771605905', ep='250', lr='0.08269638198876117', momentum='0.3042469604947362', nh='1000'
56: bs='100', decay='0.0077840634714333974', ep='100', lr='0.05084718023371435', momentum='0.30829737847272165', nh='100'
57: bs='500', decay='0.007821939154496627', ep='250', lr='0.0793838941923836', momentum='0.3001279030328745', nh='1000'
58: bs='500', decay='0.0033233576995949842', ep='250', lr='0.06451364331527344', momentum='0.9530901518942749', nh='100'
59: bs='100', decay='0.007647627000702773', ep='250', lr='0.07460324992987068', momentum='0.30029931818740935', nh='1000'
60: bs='100', decay='0.004077226611553451', ep='250', lr='0.04442860003878251', momentum='0.3776548915925614', nh='1000'
61: bs='500', decay='0.007076625855673594', ep='250', lr='0.07518431689243112', momentum='0.31123295438055393', nh='1000'
62: bs='500', decay='0.005526038450009588', ep='250', lr='0.09004601008838274', momentum='0.9078957007998223', nh='100'
63: bs='500', decay='0.006668182607633262', ep='250', lr='0.05238584784686084', momentum='0.30680499304938375', nh='1000'
64: bs='500', decay='0.006597035309234188', ep='100', lr='0.01105935646491319', momentum='0.49931417532989447', nh='1000'
65: bs='100', decay='0.006826861292297711', ep='250', lr='0.06942397870571371', momentum='0.3018146507792521', nh='1000'
66: bs='100', decay='0.009964313234306429', ep='250', lr='0.05504346452625731', momentum='0.574198123720168', nh='1000'
67: bs='500', decay='0.007057371793684586', ep='250', lr='0.06265902447634086', momentum='0.7770808392916961', nh='1000'
68: bs='100', decay='0.009965804545916633', ep='250', lr='0.04941568044337863', momentum='0.7077327574822317', nh='1000'
69: bs='500', decay='0.0066671678642515', ep='250', lr='0.03674946644288276', momentum='0.49335716166899707', nh='1000'
70: bs='100', decay='0.009958295504319321', ep='250', lr='0.053370901783703024', momentum='0.4275164276668299', nh='1000'
71: bs='100', decay='0.007112664403227908', ep='250', lr='0.08968128512024663', momentum='0.4780236724561938', nh='100'
