Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,0,0.0,SAT,,230.173,
2,2,1,34.070221,0,1.7976931348623157E308,-1,0.0,0.0,1,34.070221,1,0.0,SAT,,123.351,
3,3,1,96.618986,0,1.7976931348623157E308,-1,0.0,0.0,1,96.618986,1,0.0,SAT,,49.155,
4,4,1,57.824014,0,1.7976931348623157E308,-1,0.0,0.0,1,57.824014,1,0.0,SAT,,20.738,
5,5,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,60.319,
6,6,1,34.980494,0,1.7976931348623157E308,-1,0.0,0.0,1,34.980494,1,0.0,SAT,,210.456,
7,7,1,46.163849,0,1.7976931348623157E308,-1,0.0,0.0,1,46.163849,1,0.0,SAT,,64.806,
8,8,1,50.541829,0,1.7976931348623157E308,-1,0.0,0.0,1,50.541829,1,0.0,SAT,,63.416,
9,9,1,50.758561,0,1.7976931348623157E308,-1,0.0,0.0,1,50.758561,1,0.0,SAT,,66.153,
10,10,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,48.748,
11,11,1,63.415691,0,1.7976931348623157E308,-1,0.0,0.0,1,63.415691,1,0.0,SAT,,21.714,
12,12,1,33.636758,0,1.7976931348623157E308,-1,0.0,0.0,1,33.636758,1,0.0,SAT,,89.397,
13,13,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,151.849,
14,14,1,53.532726,0,1.7976931348623157E308,-1,0.0,0.0,1,53.532726,2,0.0,SAT,,21.094,
15,15,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,86.866,
16,16,1,34.547031,0,1.7976931348623157E308,-1,0.0,0.0,1,34.547031,2,0.0,SAT,,215.717,
17,17,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,154.381,
18,18,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,19.538,
19,19,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,203.478,
20,20,1,43.866493,0,1.7976931348623157E308,-1,0.0,0.0,1,43.866493,2,0.0,SAT,,45.302,
21,21,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,30.843,
22,22,1,36.540962,0,1.7976931348623157E308,-1,0.0,0.0,1,36.540962,2,0.0,SAT,,209.679,
23,23,1,52.102297,0,1.7976931348623157E308,-1,0.0,0.0,1,52.102297,3,0.0,SAT,,54.717,
24,24,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,3,0.0,SAT,,39.957,
25,25,1,44.473342,0,1.7976931348623157E308,-1,0.0,0.0,1,44.473342,3,0.0,SAT,,89.651,
