1: bs='100', decay='1.0E-4', ep='250', lr='0.05', momentum='0.5', nh='1000'
2: bs='94', decay='0.0037921364183036922', ep='190', lr='0.016688352742131513', momentum='0.8515190116178142', nh='1033'
3: bs='42', decay='0.004220852570400127', ep='123', lr='0.05038052226724407', momentum='0.43917022684024865', nh='1034'
4: bs='28', decay='9.255246091719211E-4', ep='128', lr='0.06614245090545039', momentum='0.5073969594685009', nh='1051'
5: bs='33', decay='4.314269998872203E-4', ep='120', lr='0.02949639475315672', momentum='0.7004387259651175', nh='1098'
6: bs='16', decay='0.00477542983325154', ep='129', lr='0.09607684455270035', momentum='1.0431009954814858', nh='1096'
7: bs='28', decay='0.002715702234502205', ep='178', lr='0.024794510133082252', momentum='0.5289242622337859', nh='994'
8: bs='48', decay='0.009011414235091834', ep='201', lr='0.014724045610851859', momentum='0.8917389173676138', nh='1056'
9: bs='90', decay='0.004652393848584749', ep='191', lr='0.09465138333659111', momentum='0.5868198907832416', nh='904'
10: bs='46', decay='1.4936606330681731E-4', ep='123', lr='0.04167856492866017', momentum='1.0598110458455088', nh='968'
11: bs='21', decay='0.006013240750860413', ep='217', lr='0.05053105262420982', momentum='1.0717797146458545', nh='1072'
12: bs='51', decay='0.0074951452700752815', ep='124', lr='0.09873470823651272', momentum='0.883611421568337', nh='954'
13: bs='33', decay='0.004910596037839568', ep='148', lr='0.025697105316317408', momentum='0.9144014925236212', nh='974'
14: bs='40', decay='0.006800604975019786', ep='190', lr='0.02764893971447578', momentum='1.0555944462923497', nh='1010'
15: bs='22', decay='0.007208757384545156', ep='130', lr='0.06265748583056077', momentum='0.6821616746464834', nh='1022'
16: bs='55', decay='0.0024285527431938242', ep='223', lr='0.09676912891125472', momentum='0.6800342312800931', nh='1069'
17: bs='61', decay='0.002674127580601943', ep='244', lr='0.01820879250282386', momentum='0.9168240396443637', nh='921'
18: bs='48', decay='0.0012779221431036365', ep='107', lr='0.055957659251188605', momentum='0.9234610426067364', nh='950'
19: bs='22', decay='0.00516160241566159', ep='151', lr='0.07971233251157428', momentum='0.38887533687331854', nh='968'
20: bs='89', decay='0.004414900568214448', ep='218', lr='0.06912826424271408', momentum='1.0659214833363855', nh='1024'
21: bs='23', decay='0.004706081917204019', ep='122', lr='0.04626351421184575', momentum='0.7018645367667704', nh='1060'
22: bs='35', decay='8.24862480755751E-4', ep='188', lr='0.08152660797537988', momentum='0.7597960890999527', nh='1083'
23: bs='90', decay='0.0027324138653149533', ep='243', lr='0.09315432533205384', momentum='0.9422331863451672', nh='913'
24: bs='82', decay='0.003416757239324148', ep='199', lr='0.06226706254278136', momentum='1.0937353432115877', nh='1086'
25: bs='49', decay='0.001466306493206095', ep='214', lr='0.06896212682266178', momentum='0.9656652661768852', nh='923'
26: bs='30', decay='0.002138025054153399', ep='108', lr='0.0837848121557287', momentum='0.7276538445796319', nh='1079'
27: bs='48', decay='0.001410564135675961', ep='242', lr='0.07827267556192558', momentum='0.9532569815401117', nh='1018'
28: bs='27', decay='0.004713638243766914', ep='231', lr='0.05898373546868606', momentum='0.7206735317991457', nh='1097'
29: bs='65', decay='0.0032028634996114492', ep='227', lr='0.07132779584468253', momentum='0.951394905696245', nh='914'
30: bs='95', decay='0.0056629057717547246', ep='230', lr='0.048907972610644904', momentum='0.901794846222753', nh='922'
31: bs='46', decay='0.0034890668000705357', ep='218', lr='0.09062152539162624', momentum='0.9666616549050511', nh='989'
32: bs='46', decay='0.008645966381174942', ep='165', lr='0.03716269461604585', momentum='0.6130600218960864', nh='935'
33: bs='19', decay='0.0031101729931302833', ep='241', lr='0.06623034267023557', momentum='0.5441691374218729', nh='1018'
34: bs='50', decay='0.0046572715313344185', ep='192', lr='0.09293153241136144', momentum='0.5060506771458319', nh='1050'
35: bs='14', decay='0.002138025054153399', ep='121', lr='0.06638793201006747', momentum='0.6727355525684546', nh='1079'
36: bs='80', decay='0.00669492694033667', ep='243', lr='0.0546067620167343', momentum='0.8034137704370445', nh='1016'
37: bs='13', decay='5.535155065313061E-4', ep='249', lr='0.04295704787572946', momentum='0.4020012090042133', nh='1087'
38: bs='56', decay='6.828183429058852E-5', ep='127', lr='0.041848394025492786', momentum='0.8408173665105967', nh='923'
39: bs='21', decay='0.0027093797540976585', ep='219', lr='0.025612419532281584', momentum='0.427183170310583', nh='1038'
40: bs='66', decay='0.0021569835782927348', ep='228', lr='0.08983709703405633', momentum='0.6557052143283246', nh='937'
41: bs='13', decay='0.0036955144356328497', ep='197', lr='0.06211230552231362', momentum='0.5600511903039103', nh='949'
42: bs='28', decay='0.009393482290666076', ep='163', lr='0.0475158136529874', momentum='0.9401848710853111', nh='1028'
43: bs='11', decay='0.001776754467720582', ep='235', lr='0.023200026096293413', momentum='0.31104430783391945', nh='900'
44: bs='85', decay='0.0023177578385652252', ep='215', lr='0.08627310782912793', momentum='0.41804785067137534', nh='1042'
45: bs='59', decay='0.004722737379826582', ep='137', lr='0.03836849729918549', momentum='0.7620587985099299', nh='935'
46: bs='97', decay='0.0020510352130460496', ep='210', lr='0.08755124304016061', momentum='0.39031444374223073', nh='1083'
47: bs='37', decay='6.689140011930889E-4', ep='204', lr='0.04877906715961927', momentum='0.6346239598934431', nh='1020'
48: bs='53', decay='0.0023009266357484556', ep='199', lr='0.09506196108988972', momentum='0.43329827493885587', nh='1091'
49: bs='67', decay='0.009221214940021151', ep='214', lr='0.08726742232697184', momentum='0.6413971428883373', nh='1052'
50: bs='74', decay='7.553216533698896E-4', ep='203', lr='0.09047499027335326', momentum='0.40238309214005197', nh='901'
51: bs='77', decay='0.0031386075038690995', ep='186', lr='0.08432306850527109', momentum='0.8786195558995606', nh='933'
52: bs='69', decay='0.0015337951349978108', ep='208', lr='0.08695953287665205', momentum='0.3027261913587478', nh='914'
53: bs='32', decay='0.00591869604665382', ep='168', lr='0.09080499894712091', momentum='0.5309491096471946', nh='1061'
54: bs='95', decay='0.00283767468896777', ep='202', lr='0.08609355908528155', momentum='0.3700741984970469', nh='949'
55: bs='97', decay='5.37903199682287E-4', ep='243', lr='0.05012314074883371', momentum='0.45908844749022376', nh='963'
56: bs='38', decay='0.005439700876849041', ep='118', lr='0.05177221566861208', momentum='0.702007263487179', nh='920'
57: bs='98', decay='5.095169604453054E-4', ep='218', lr='0.011361985661960415', momentum='0.30518327899692604', nh='958'
