Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,33.333333,0,1.7976931348623157E308,-1,0.0,0.0,1,33.333333,0,0.0,SAT,,263.196,
2,2,1,34.633723,0,1.7976931348623157E308,-1,0.0,0.0,1,34.633723,1,0.0,SAT,,211.235,
3,3,1,33.810143,0,1.7976931348623157E308,-1,0.0,0.0,1,33.810143,1,0.0,SAT,,214.392,
4,4,1,33.896836,0,1.7976931348623157E308,-1,0.0,0.0,1,33.896836,1,0.0,SAT,,290.808,
5,5,1,34.503684,0,1.7976931348623157E308,-1,0.0,0.0,1,34.503684,1,0.0,SAT,,245.724,
6,6,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,413.048,
7,7,1,34.113567,0,1.7976931348623157E308,-1,0.0,0.0,1,34.113567,1,0.0,SAT,,376.395,
8,8,1,35.457304,0,1.7976931348623157E308,-1,0.0,0.0,1,35.457304,1,0.0,SAT,,304.464,
9,9,1,33.37668,0,1.7976931348623157E308,-1,0.0,0.0,1,33.37668,1,0.0,SAT,,183.172,
10,10,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,175.362,
11,11,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,586.404,
12,12,1,42.912874,0,1.7976931348623157E308,-1,0.0,0.0,1,42.912874,1,0.0,SAT,,183.276,
13,13,1,38.318162,0,1.7976931348623157E308,-1,0.0,0.0,1,38.318162,2,0.0,SAT,,273.922,
14,14,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,297.31,
15,15,1,36.974426,0,1.7976931348623157E308,-1,0.0,0.0,1,36.974426,2,0.0,SAT,,363.311,
16,16,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,2,0.0,SAT,,331.035,
17,17,1,32.89987,0,1.7976931348623157E308,-1,0.0,0.0,1,32.89987,2,0.0,SAT,,298.312,
18,18,1,35.890767,0,1.7976931348623157E308,-1,0.0,0.0,1,35.890767,2,0.0,SAT,,154.024,
19,19,1,34.547031,0,1.7976931348623157E308,-1,0.0,0.0,1,34.547031,2,0.0,SAT,,391.443,
20,20,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,209.661,
21,21,1,38.794972,0,1.7976931348623157E308,-1,0.0,0.0,1,38.794972,2,0.0,SAT,,302.747,
22,22,1,34.286953,0,1.7976931348623157E308,-1,0.0,0.0,1,34.286953,2,0.0,SAT,,349.869,
23,23,1,39.271782,0,1.7976931348623157E308,-1,0.0,0.0,1,39.271782,3,0.0,SAT,,218.486,
24,24,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,3,0.0,SAT,,196.755,
25,25,1,43.476376,0,1.7976931348623157E308,-1,0.0,0.0,1,43.476376,3,0.0,SAT,,275.673,
26,26,1,37.191157,0,1.7976931348623157E308,-1,0.0,0.0,1,37.191157,3,0.0,SAT,,230.193,
27,27,1,41.309059,0,1.7976931348623157E308,-1,0.0,0.0,1,41.309059,3,0.0,SAT,,352.882,
28,28,1,35.327265,0,1.7976931348623157E308,-1,0.0,0.0,1,35.327265,3,0.0,SAT,,535.232,
29,29,1,41.525791,0,1.7976931348623157E308,-1,0.0,0.0,1,41.525791,3,0.0,SAT,,236.337,
30,30,1,36.237538,0,1.7976931348623157E308,-1,0.0,0.0,1,36.237538,3,0.0,SAT,,229.435,
31,31,1,41.482445,0,1.7976931348623157E308,-1,0.0,0.0,1,41.482445,3,0.0,SAT,,348.624,
32,32,1,33.766797,0,1.7976931348623157E308,-1,0.0,0.0,1,33.766797,3,0.0,SAT,,254.217,
33,33,1,34.243606,0,1.7976931348623157E308,-1,0.0,0.0,1,34.243606,4,0.0,SAT,,755.223,
34,34,1,32.639792,0,1.7976931348623157E308,-1,0.0,0.0,1,32.639792,4,0.0,SAT,,299.152,
35,35,1,38.188123,0,1.7976931348623157E308,-1,0.0,0.0,1,38.188123,4,0.0,SAT,,516.929,
36,36,1,34.156914,0,1.7976931348623157E308,-1,0.0,0.0,1,34.156914,4,0.0,SAT,,278.668,
37,37,1,34.113567,0,1.7976931348623157E308,-1,0.0,0.0,1,34.113567,4,0.0,SAT,,1099.155,
38,38,1,36.45427,0,1.7976931348623157E308,-1,0.0,0.0,1,36.45427,4,0.0,SAT,,164.325,
39,39,1,33.333333,0,1.7976931348623157E308,-1,0.0,0.0,1,33.333333,4,0.0,SAT,,613.298,
40,40,1,33.333333,0,1.7976931348623157E308,-1,0.0,0.0,1,33.333333,4,0.0,SAT,,264.333,
41,41,1,37.017772,0,1.7976931348623157E308,-1,0.0,0.0,1,37.017772,4,0.0,SAT,,805.202,
42,42,1,44.906805,0,1.7976931348623157E308,-1,0.0,0.0,1,44.906805,4,0.0,SAT,,360.397,
43,43,1,34.070221,0,1.7976931348623157E308,-1,0.0,0.0,1,34.070221,4,0.0,SAT,,1003.532,
44,44,1,33.159948,0,1.7976931348623157E308,-1,0.0,0.0,1,33.159948,5,0.0,SAT,,236.554,
45,45,1,33.680104,0,1.7976931348623157E308,-1,0.0,0.0,1,33.680104,5,0.0,SAT,,172.926,
46,46,1,33.333333,0,1.7976931348623157E308,-1,0.0,0.0,1,33.333333,5,0.0,SAT,,223.146,
47,47,1,33.940182,0,1.7976931348623157E308,-1,0.0,0.0,1,33.940182,5,0.0,SAT,,379.319,
48,48,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,5,0.0,SAT,,311.392,
49,49,1,36.45427,0,1.7976931348623157E308,-1,0.0,0.0,1,36.45427,5,0.0,SAT,,276.313,
