1: bs='100', decay='1.0E-4', ep='250', lr='0.05', momentum='0.5', nh='1000'
2: bs='13', decay='0.0015793925698302804', ep='156', lr='0.010196761276827202', momentum='0.6864743983501429', nh='904'
3: bs='35', decay='0.006947915897266998', ep='186', lr='0.025581615547868725', momentum='0.32328539608634094', nh='1017'
4: bs='50', decay='0.0076436976697063', ep='237', lr='0.04651020608760885', momentum='0.32148293430700986', nh='1064'
5: bs='45', decay='1.0390946659601029E-5', ep='220', lr='0.07621936200923328', momentum='0.8934891135167344', nh='908'
6: bs='38', decay='1.1883800091963766E-4', ep='182', lr='0.09105832616483368', momentum='0.6807883442504266', nh='559'
7: bs='23', decay='3.648997225777949E-5', ep='139', lr='0.040882239343944145', momentum='0.4479673008377431', nh='904'
8: bs='98', decay='5.6633297056891995E-5', ep='233', lr='0.02230052580063308', momentum='0.838794967906356', nh='881'
9: bs='83', decay='1.3376003110117184E-4', ep='204', lr='0.04447579818460841', momentum='0.6772213697172835', nh='809'
10: bs='43', decay='3.195953689530695E-4', ep='116', lr='0.038014154753089356', momentum='1.0502826097191624', nh='1044'
11: bs='65', decay='2.8807661983226663E-4', ep='170', lr='0.07371885933707237', momentum='1.051976247123054', nh='854'
12: bs='63', decay='0.0036415517832976314', ep='194', lr='0.08799082441486046', momentum='1.0381556647063448', nh='1061'
13: bs='56', decay='8.789912561466597E-5', ep='127', lr='0.050741478153407064', momentum='0.9835126728867787', nh='569'
14: bs='44', decay='3.187946261488307E-5', ep='215', lr='0.050944174505074984', momentum='1.0334349642332805', nh='1009'
15: bs='89', decay='1.9497582367635662E-5', ep='237', lr='0.0831196068545323', momentum='0.9740540372454385', nh='446'
16: bs='67', decay='0.002993571009939912', ep='146', lr='0.07636197686588098', momentum='0.9340563706561202', nh='720'
17: bs='89', decay='1.0374342026585342E-4', ep='153', lr='0.07482990404291828', momentum='0.9844074220936669', nh='525'
18: bs='26', decay='4.3161121374135007E-4', ep='215', lr='0.028092400148784558', momentum='1.0792613790121335', nh='748'
19: bs='96', decay='6.020658665098594E-5', ep='127', lr='0.07589741977451572', momentum='0.9842235640109849', nh='1022'
