Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,33.333333,0,1.7976931348623157E308,-1,0.0,0.0,1,33.333333,0,0.0,SAT,,214.835,
2,2,1,33.550065,0,1.7976931348623157E308,-1,0.0,0.0,1,33.550065,1,0.0,SAT,,521.453,
3,3,1,33.940182,0,1.7976931348623157E308,-1,0.0,0.0,1,33.940182,1,0.0,SAT,,314.519,
4,4,1,34.156914,0,1.7976931348623157E308,-1,0.0,0.0,1,34.156914,1,0.0,SAT,,318.163,
5,5,1,41.092328,0,1.7976931348623157E308,-1,0.0,0.0,1,41.092328,1,0.0,SAT,,282.148,
6,6,1,36.150845,0,1.7976931348623157E308,-1,0.0,0.0,1,36.150845,1,0.0,SAT,,190.27,
7,7,1,35.804075,0,1.7976931348623157E308,-1,0.0,0.0,1,35.804075,1,0.0,SAT,,285.565,
8,8,1,34.807109,0,1.7976931348623157E308,-1,0.0,0.0,1,34.807109,1,0.0,SAT,,184.441,
9,9,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,1,0.0,SAT,,166.867,
10,10,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,164.979,
11,11,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,144.704,
12,12,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,212.212,
13,13,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,109.467,
14,14,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,290.069,
15,15,1,58.040746,0,1.7976931348623157E308,-1,0.0,0.0,1,58.040746,2,0.0,SAT,,131.392,
16,16,1,36.80104,0,1.7976931348623157E308,-1,0.0,0.0,1,36.80104,2,0.0,SAT,,126.713,
17,17,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,95.955,
18,18,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,331.668,
19,19,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,114.956,
20,20,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,168.698,
21,21,1,60.94495,0,1.7976931348623157E308,-1,0.0,0.0,1,60.94495,2,0.0,SAT,,123.121,
22,22,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,2,0.0,SAT,,124.007,
23,23,1,33.72345,0,1.7976931348623157E308,-1,0.0,0.0,1,33.72345,3,0.0,SAT,,303.874,
24,24,1,35.02384,0,1.7976931348623157E308,-1,0.0,0.0,1,35.02384,3,0.0,SAT,,239.54,
25,25,1,34.20026,0,1.7976931348623157E308,-1,0.0,0.0,1,34.20026,3,0.0,SAT,,134.17,
26,26,1,35.197226,0,1.7976931348623157E308,-1,0.0,0.0,1,35.197226,3,0.0,SAT,,213.285,
27,27,1,35.197226,0,1.7976931348623157E308,-1,0.0,0.0,1,35.197226,3,0.0,SAT,,470.124,
28,28,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,3,0.0,SAT,,158.353,
29,29,1,34.20026,0,1.7976931348623157E308,-1,0.0,0.0,1,34.20026,3,0.0,SAT,,117.11,
30,30,1,37.147811,0,1.7976931348623157E308,-1,0.0,0.0,1,37.147811,3,0.0,SAT,,320.895,
31,31,1,33.636758,0,1.7976931348623157E308,-1,0.0,0.0,1,33.636758,3,0.0,SAT,,120.674,
32,32,1,33.506719,0,1.7976931348623157E308,-1,0.0,0.0,1,33.506719,3,0.0,SAT,,313.43,
33,33,1,37.104465,0,1.7976931348623157E308,-1,0.0,0.0,1,37.104465,4,0.0,SAT,,511.11,
34,34,1,35.674036,0,1.7976931348623157E308,-1,0.0,0.0,1,35.674036,4,0.0,SAT,,97.121,
35,35,1,33.593411,0,1.7976931348623157E308,-1,0.0,0.0,1,33.593411,4,0.0,SAT,,217.761,
36,36,1,33.463372,0,1.7976931348623157E308,-1,0.0,0.0,1,33.463372,4,0.0,SAT,,106.187,
