1: bs='100', ep='250', lr='0.05', nh='500'
2: bs='50', ep='186', lr='0.02668012446637679', nh='821'
3: bs='21', ep='105', lr='0.027017249842655924', nh='640'
4: bs='13', ep='141', lr='0.013860074804172015', nh='827'
5: bs='52', ep='213', lr='0.02342929765238323', nh='499'
6: bs='69', ep='146', lr='0.0726879112131352', nh='382'
7: bs='24', ep='246', lr='0.07194230429013028', nh='931'
8: bs='98', ep='245', lr='0.012529578966148406', nh='534'
9: bs='15', ep='152', lr='0.08571989157384127', nh='481'
10: bs='43', ep='213', lr='0.0674729730580019', nh='401'
11: bs='23', ep='213', lr='0.047915784857752865', nh='647'
12: bs='61', ep='164', lr='0.08119539150434024', nh='639'
13: bs='16', ep='158', lr='0.013257688537155437', nh='458'
14: bs='98', ep='228', lr='0.05566732258956161', nh='931'
15: bs='21', ep='191', lr='0.013177922866056605', nh='658'
16: bs='19', ep='141', lr='0.011901318266581433', nh='632'
17: bs='17', ep='151', lr='0.013560084260281074', nh='910'
18: bs='47', ep='199', lr='0.06835232692330287', nh='530'
19: bs='10', ep='178', lr='0.0136160586346663', nh='951'
20: bs='11', ep='217', lr='0.039292726778224804', nh='592'
21: bs='20', ep='151', lr='0.013352300067549526', nh='445'
22: bs='67', ep='126', lr='0.020089470123439417', nh='402'
23: bs='22', ep='182', lr='0.081775973592333', nh='970'
24: bs='62', ep='201', lr='0.07149115843190866', nh='389'
25: bs='21', ep='136', lr='0.0829810530652066', nh='950'
26: bs='26', ep='115', lr='0.027664169015649873', nh='821'
27: bs='21', ep='194', lr='0.08311030460605329', nh='477'
28: bs='78', ep='243', lr='0.015247063081791393', nh='977'
29: bs='23', ep='189', lr='0.0825356641717981', nh='622'
30: bs='49', ep='226', lr='0.013771430229052658', nh='603'
31: bs='23', ep='247', lr='0.08393810016264938', nh='789'
32: bs='43', ep='222', lr='0.03741602105639683', nh='377'
33: bs='37', ep='223', lr='0.063076076022755', nh='368'
34: bs='76', ep='230', lr='0.04393273314542405', nh='561'
35: bs='29', ep='221', lr='0.05301217729755624', nh='477'
36: bs='17', ep='163', lr='0.06951519081449083', nh='434'
37: bs='25', ep='222', lr='0.061933143053045495', nh='473'
38: bs='70', ep='113', lr='0.05465853799637695', nh='529'
39: bs='39', ep='187', lr='0.06884251917862004', nh='464'
40: bs='79', ep='184', lr='0.09330040454560656', nh='980'
41: bs='33', ep='207', lr='0.035218540700152755', nh='465'
42: bs='25', ep='122', lr='0.0455356413367682', nh='460'
43: bs='25', ep='201', lr='0.06329210957615691', nh='466'
44: bs='43', ep='224', lr='0.036878144270917276', nh='473'
45: bs='77', ep='207', lr='0.09392484686898886', nh='895'
46: bs='36', ep='224', lr='0.026730653570765935', nh='579'
47: bs='27', ep='126', lr='0.06466777614951533', nh='411'
48: bs='26', ep='225', lr='0.01923560784374322', nh='438'
49: bs='12', ep='232', lr='0.042008718602146146', nh='375'
50: bs='40', ep='224', lr='0.025782196262005883', nh='746'
51: bs='86', ep='107', lr='0.06327919658952726', nh='596'
52: bs='43', ep='222', lr='0.03741602105639683', nh='525'
53: bs='96', ep='205', lr='0.039399137281585304', nh='424'
54: bs='37', ep='221', lr='0.0136160586346663', nh='606'
55: bs='39', ep='136', lr='0.02095990693715275', nh='365'
56: bs='74', ep='230', lr='0.01689662071793066', nh='837'
57: bs='32', ep='129', lr='0.020904704556987515', nh='394'
58: bs='21', ep='162', lr='0.07422154473553551', nh='743'
59: bs='30', ep='199', lr='0.02052288927738069', nh='400'
60: bs='48', ep='163', lr='0.02208262222492414', nh='533'
61: bs='37', ep='119', lr='0.02137283001640422', nh='376'
62: bs='19', ep='245', lr='0.0401008309244404', nh='548'
63: bs='34', ep='202', lr='0.021896430313106147', nh='351'
64: bs='20', ep='183', lr='0.04515690210049525', nh='549'
65: bs='31', ep='183', lr='0.02068981413688644', nh='383'
66: bs='65', ep='209', lr='0.035370524647139', nh='466'
67: bs='58', ep='180', lr='0.03256072759222186', nh='877'
68: bs='63', ep='209', lr='0.02849605937717141', nh='530'
69: bs='94', ep='185', lr='0.07438506222480191', nh='690'
70: bs='63', ep='224', lr='0.029855147551809874', nh='533'
71: bs='73', ep='235', lr='0.05272675945661772', nh='457'
72: bs='64', ep='224', lr='0.031440307258952936', nh='490'
73: bs='69', ep='147', lr='0.06905199489665051', nh='883'
74: bs='63', ep='211', lr='0.03319109592430403', nh='458'
75: bs='100', ep='108', lr='0.034069489488156655', nh='838'
76: bs='65', ep='213', lr='0.03793721680646982', nh='528'
77: bs='92', ep='104', lr='0.023806562078850683', nh='681'
78: bs='34', ep='243', lr='0.08468704978944498', nh='417'
79: bs='29', ep='105', lr='0.023580196784983888', nh='640'
80: bs='91', ep='218', lr='0.013580344243902996', nh='885'
81: bs='17', ep='119', lr='0.011177604519234288', nh='938'
82: bs='67', ep='181', lr='0.05718207016151816', nh='794'
83: bs='22', ep='116', lr='0.010428096277549828', nh='953'
84: bs='27', ep='206', lr='0.06167331589145165', nh='510'
85: bs='27', ep='118', lr='0.013002330139704027', nh='784'
86: bs='51', ep='243', lr='0.09167597443245089', nh='359'
87: bs='19', ep='113', lr='0.012266200311312694', nh='717'
88: bs='23', ep='103', lr='0.029752519085621904', nh='370'
89: bs='41', ep='208', lr='0.04980677592503546', nh='368'
90: bs='25', ep='104', lr='0.06529719561103317', nh='331'
91: bs='78', ep='247', lr='0.044968719397574866', nh='329'
92: bs='19', ep='106', lr='0.03695410886397421', nh='330'
93: bs='22', ep='234', lr='0.07289071641926292', nh='448'
94: bs='19', ep='104', lr='0.032213177038384284', nh='306'
95: bs='50', ep='122', lr='0.033919607800717226', nh='723'
96: bs='22', ep='103', lr='0.03028523016916925', nh='306'
97: bs='60', ep='195', lr='0.03423661331438718', nh='691'
98: bs='19', ep='100', lr='0.08704684491414473', nh='376'
99: bs='82', ep='187', lr='0.02519087863637784', nh='855'
100: bs='66', ep='165', lr='0.05514833528985941', nh='369'
101: bs='88', ep='187', lr='0.05272675945661772', nh='595'
102: bs='78', ep='188', lr='0.020798711237138542', nh='898'
103: bs='59', ep='218', lr='0.0239011653805571', nh='377'
104: bs='89', ep='182', lr='0.05312761457522166', nh='618'
105: bs='75', ep='188', lr='0.02500877623249586', nh='719'
106: bs='83', ep='169', lr='0.012277363360069533', nh='630'
107: bs='89', ep='147', lr='0.07236539673914122', nh='451'
108: bs='34', ep='220', lr='0.023730626069176884', nh='543'
109: bs='90', ep='187', lr='0.09078547126890718', nh='320'
110: bs='31', ep='191', lr='0.026627296897078837', nh='364'
111: bs='10', ep='233', lr='0.012545093978150828', nh='685'
112: bs='33', ep='165', lr='0.026730653570765935', nh='579'
113: bs='18', ep='182', lr='0.028175123200343835', nh='933'
114: bs='31', ep='141', lr='0.026824440801091608', nh='549'
115: bs='50', ep='102', lr='0.06866135461758094', nh='347'
116: bs='32', ep='130', lr='0.02696811508335107', nh='426'
117: bs='79', ep='222', lr='0.07986629932635289', nh='912'
118: bs='30', ep='165', lr='0.027444731551841704', nh='328'
119: bs='54', ep='160', lr='0.03216224438119321', nh='844'
120: bs='33', ep='152', lr='0.03619764691738798', nh='300'
121: bs='93', ep='124', lr='0.07130113502587904', nh='307'
122: bs='28', ep='131', lr='0.05015254380090179', nh='906'
123: bs='95', ep='181', lr='0.07047773117129282', nh='346'
124: bs='14', ep='138', lr='0.05949357540501716', nh='844'
125: bs='95', ep='185', lr='0.07254693091577329', nh='589'
126: bs='43', ep='140', lr='0.09077113029349301', nh='697'
127: bs='95', ep='110', lr='0.07373424646520553', nh='365'
128: bs='32', ep='134', lr='0.06551221286427403', nh='610'
