Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,35.153879,0,1.7976931348623157E308,-1,0.0,0.0,1,35.153879,0,0.0,SAT,,136.566,
2,2,1,35.717382,0,1.7976931348623157E308,-1,0.0,0.0,1,35.717382,1,0.0,SAT,,192.532,
3,3,1,33.896836,0,1.7976931348623157E308,-1,0.0,0.0,1,33.896836,1,0.0,SAT,,185.239,
4,4,1,34.416992,0,1.7976931348623157E308,-1,0.0,0.0,1,34.416992,1,0.0,SAT,,437.282,
5,5,1,34.763762,0,1.7976931348623157E308,-1,0.0,0.0,1,34.763762,1,0.0,SAT,,158.674,
6,6,1,34.67707,0,1.7976931348623157E308,-1,0.0,0.0,1,34.67707,1,0.0,SAT,,82.394,
7,7,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,1,0.0,SAT,,459.98,
8,8,1,40.138708,0,1.7976931348623157E308,-1,0.0,0.0,1,40.138708,1,0.0,SAT,,147.619,
9,9,1,37.884699,0,1.7976931348623157E308,-1,0.0,0.0,1,37.884699,1,0.0,SAT,,280.387,
10,10,1,34.373645,0,1.7976931348623157E308,-1,0.0,0.0,1,34.373645,1,0.0,SAT,,156.338,
11,11,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,1,0.0,SAT,,335.228,
12,12,1,35.153879,0,1.7976931348623157E308,-1,0.0,0.0,1,35.153879,1,0.0,SAT,,130.427,
13,13,1,34.720416,0,1.7976931348623157E308,-1,0.0,0.0,1,34.720416,2,0.0,SAT,,253.204,
14,14,1,36.194192,0,1.7976931348623157E308,-1,0.0,0.0,1,36.194192,2,0.0,SAT,,182.742,
15,15,1,33.463372,0,1.7976931348623157E308,-1,0.0,0.0,1,33.463372,2,0.0,SAT,,333.552,
16,16,1,34.503684,0,1.7976931348623157E308,-1,0.0,0.0,1,34.503684,2,0.0,SAT,,252.749,
17,17,1,34.763762,0,1.7976931348623157E308,-1,0.0,0.0,1,34.763762,2,0.0,SAT,,378.714,
18,18,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,2,0.0,SAT,,175.335,
19,19,1,34.070221,0,1.7976931348623157E308,-1,0.0,0.0,1,34.070221,2,0.0,SAT,,773.539,
20,20,1,35.153879,0,1.7976931348623157E308,-1,0.0,0.0,1,35.153879,2,0.0,SAT,,584.348,
21,21,1,34.503684,0,1.7976931348623157E308,-1,0.0,0.0,1,34.503684,2,0.0,SAT,,209.394,
22,22,1,39.661899,0,1.7976931348623157E308,-1,0.0,0.0,1,39.661899,2,0.0,SAT,,73.808,
23,23,1,35.587343,0,1.7976931348623157E308,-1,0.0,0.0,1,35.587343,3,0.0,SAT,,405.116,
24,24,1,34.113567,0,1.7976931348623157E308,-1,0.0,0.0,1,34.113567,3,0.0,SAT,,120.947,
25,25,1,34.720416,0,1.7976931348623157E308,-1,0.0,0.0,1,34.720416,3,0.0,SAT,,312.474,
26,26,1,34.980494,0,1.7976931348623157E308,-1,0.0,0.0,1,34.980494,3,0.0,SAT,,187.543,
27,27,1,36.627655,0,1.7976931348623157E308,-1,0.0,0.0,1,36.627655,3,0.0,SAT,,267.413,
28,28,1,36.757694,0,1.7976931348623157E308,-1,0.0,0.0,1,36.757694,3,0.0,SAT,,238.638,
29,29,1,35.587343,0,1.7976931348623157E308,-1,0.0,0.0,1,35.587343,3,0.0,SAT,,305.328,
30,30,1,36.540962,0,1.7976931348623157E308,-1,0.0,0.0,1,36.540962,3,0.0,SAT,,198.018,
31,31,1,35.067187,0,1.7976931348623157E308,-1,0.0,0.0,1,35.067187,3,0.0,SAT,,455.698,
32,32,1,33.550065,0,1.7976931348623157E308,-1,0.0,0.0,1,33.550065,3,0.0,SAT,,159.371,
33,33,1,34.156914,0,1.7976931348623157E308,-1,0.0,0.0,1,34.156914,4,0.0,SAT,,173.848,
34,34,1,34.547031,0,1.7976931348623157E308,-1,0.0,0.0,1,34.547031,4,0.0,SAT,,150.914,
35,35,1,33.810143,0,1.7976931348623157E308,-1,0.0,0.0,1,33.810143,4,0.0,SAT,,244.8,
36,36,1,35.674036,0,1.7976931348623157E308,-1,0.0,0.0,1,35.674036,4,0.0,SAT,,251.99,
37,37,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,4,0.0,SAT,,270.296,
38,38,1,35.457304,0,1.7976931348623157E308,-1,0.0,0.0,1,35.457304,4,0.0,SAT,,77.315,
39,39,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,4,0.0,SAT,,171.042,
40,40,1,34.893801,0,1.7976931348623157E308,-1,0.0,0.0,1,34.893801,4,0.0,SAT,,175.273,
41,41,1,33.463372,0,1.7976931348623157E308,-1,0.0,0.0,1,33.463372,4,0.0,SAT,,199.4,
42,42,1,34.330299,0,1.7976931348623157E308,-1,0.0,0.0,1,34.330299,4,0.0,SAT,,151.273,
43,43,1,35.02384,0,1.7976931348623157E308,-1,0.0,0.0,1,35.02384,4,0.0,SAT,,245.946,
44,44,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,5,0.0,SAT,,188.299,
45,45,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,5,0.0,SAT,,176.914,
46,46,1,33.940182,0,1.7976931348623157E308,-1,0.0,0.0,1,33.940182,5,0.0,SAT,,232.026,
47,47,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,5,0.0,SAT,,130.764,
48,48,1,34.330299,0,1.7976931348623157E308,-1,0.0,0.0,1,34.330299,5,0.0,SAT,,247.96,
49,49,1,35.283919,0,1.7976931348623157E308,-1,0.0,0.0,1,35.283919,5,0.0,SAT,,435.951,
50,50,1,34.807109,0,1.7976931348623157E308,-1,0.0,0.0,1,34.807109,5,0.0,SAT,,250.369,
51,51,1,35.240572,0,1.7976931348623157E308,-1,0.0,0.0,1,35.240572,5,0.0,SAT,,73.338,
52,52,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,5,0.0,SAT,,197.692,
53,53,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,5,0.0,SAT,,101.132,
54,54,1,35.240572,0,1.7976931348623157E308,-1,0.0,0.0,1,35.240572,5,0.0,SAT,,241.897,
55,55,1,37.27785,0,1.7976931348623157E308,-1,0.0,0.0,1,37.27785,6,0.0,SAT,,109.439,
56,56,1,37.104465,0,1.7976931348623157E308,-1,0.0,0.0,1,37.104465,6,0.0,SAT,,192.354,
57,57,1,36.237538,0,1.7976931348623157E308,-1,0.0,0.0,1,36.237538,6,0.0,SAT,,109.172,
