1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
2: bs='100', decay='0.0026095748636499657', ep='250', lr='0.011557778969054439', momentum='0.7313451189281548', nh='1000'
3: bs='100', decay='0.004460510554289251', ep='250', lr='0.04041560167534443', momentum='0.8272750270617382', nh='1000'
4: bs='100', decay='0.00781356030491807', ep='250', lr='0.09797065163822073', momentum='0.7718615799038759', nh='1000'
5: bs='100', decay='0.009004382522422633', ep='250', lr='0.07976547602499105', momentum='1.0605737698352709', nh='1000'
6: bs='100', decay='0.005289693577121289', ep='250', lr='0.019414134033522424', momentum='0.4857961069395529', nh='1000'
7: bs='100', decay='3.6730601937243256E-4', ep='250', lr='0.01800433081119298', momentum='0.8754081132510887', nh='1000'
8: bs='100', decay='0.004741742374201078', ep='250', lr='0.07320504407402556', momentum='0.8539063025198679', nh='1000'
9: bs='100', decay='0.008865849101902997', ep='250', lr='0.0900031489229855', momentum='0.8974451762603768', nh='1000'
10: bs='100', decay='0.0035209007298607924', ep='250', lr='0.0345132882182254', momentum='1.0475685726277577', nh='1000'
11: bs='100', decay='0.009865186928654191', ep='250', lr='0.03942414203909365', momentum='0.4334192570846894', nh='1000'
12: bs='100', decay='0.0025897510981820657', ep='250', lr='0.02300433735619499', momentum='0.6615904753921873', nh='1000'
13: bs='100', decay='0.004444803671144733', ep='250', lr='0.03556489123572533', momentum='0.9261897251697051', nh='1000'
14: bs='100', decay='0.004492829435346708', ep='250', lr='0.014569617023421515', momentum='1.0753646646240684', nh='1000'
15: bs='100', decay='0.004559148975329698', ep='250', lr='0.031199825190448685', momentum='0.9318337666948733', nh='1000'
16: bs='100', decay='0.004597222395806544', ep='250', lr='0.043028336174916575', momentum='0.6079141725478947', nh='1000'
17: bs='100', decay='0.008865849101902997', ep='250', lr='0.07296756526031371', momentum='0.9208637527685994', nh='1000'
18: bs='100', decay='0.009929262724608881', ep='250', lr='0.027659167903359705', momentum='0.8037698583209869', nh='1000'
19: bs='100', decay='0.006193373873810904', ep='250', lr='0.07496374515690488', momentum='0.9277783031845208', nh='1000'
20: bs='100', decay='0.0037671321759253323', ep='250', lr='0.01674976076530753', momentum='1.01266472016568', nh='1000'
21: bs='100', decay='0.004179227204685468', ep='250', lr='0.07131285760945164', momentum='0.9284424866986023', nh='1000'
22: bs='100', decay='0.0055553343534662574', ep='250', lr='0.06515415763328852', momentum='1.085929579098611', nh='1000'
23: bs='100', decay='8.564911324379262E-4', ep='250', lr='0.041815993512143955', momentum='0.9508700410143462', nh='1000'
24: bs='100', decay='0.007555716423946338', ep='250', lr='0.04855105054833717', momentum='1.0479844632173065', nh='1000'
25: bs='100', decay='0.0013197645740654802', ep='250', lr='0.04123361967737281', momentum='0.9495882861282099', nh='1000'
26: bs='100', decay='0.008826822156143912', ep='250', lr='0.010590876196523564', momentum='0.40043998255156366', nh='1000'
27: bs='100', decay='0.00939603953688066', ep='250', lr='0.040893072736724316', momentum='0.9498584617674939', nh='1000'
