Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,0,0.0,SAT,,217.433,
2,2,1,35.327265,0,1.7976931348623157E308,-1,0.0,0.0,1,35.327265,1,0.0,SAT,,217.063,
3,3,1,33.593411,0,1.7976931348623157E308,-1,0.0,0.0,1,33.593411,1,0.0,SAT,,213.716,
4,4,1,36.194192,0,1.7976931348623157E308,-1,0.0,0.0,1,36.194192,1,0.0,SAT,,218.132,
5,5,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,197.378,
6,6,1,35.153879,0,1.7976931348623157E308,-1,0.0,0.0,1,35.153879,1,0.0,SAT,,217.725,
7,7,1,33.810143,0,1.7976931348623157E308,-1,0.0,0.0,1,33.810143,1,0.0,SAT,,215.893,
8,8,1,35.110533,0,1.7976931348623157E308,-1,0.0,0.0,1,35.110533,1,0.0,SAT,,212.392,
9,9,1,37.667967,0,1.7976931348623157E308,-1,0.0,0.0,1,37.667967,1,0.0,SAT,,216.405,
10,10,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,197.891,
11,11,1,34.286953,0,1.7976931348623157E308,-1,0.0,0.0,1,34.286953,1,0.0,SAT,,217.914,
12,12,1,34.416992,0,1.7976931348623157E308,-1,0.0,0.0,1,34.416992,1,0.0,SAT,,214.244,
13,13,1,34.156914,0,1.7976931348623157E308,-1,0.0,0.0,1,34.156914,2,0.0,SAT,,215.481,
14,14,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,198.04,
15,15,1,34.286953,0,1.7976931348623157E308,-1,0.0,0.0,1,34.286953,2,0.0,SAT,,217.472,
16,16,1,32.553099,0,1.7976931348623157E308,-1,0.0,0.0,1,32.553099,2,0.0,SAT,,216.488,
17,17,1,39.098396,0,1.7976931348623157E308,-1,0.0,0.0,1,39.098396,2,0.0,SAT,,214.509,
18,18,1,34.113567,0,1.7976931348623157E308,-1,0.0,0.0,1,34.113567,2,0.0,SAT,,216.014,
19,19,1,37.841352,0,1.7976931348623157E308,-1,0.0,0.0,1,37.841352,2,0.0,SAT,,211.387,
20,20,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,201.195,
21,21,1,36.45427,0,1.7976931348623157E308,-1,0.0,0.0,1,36.45427,2,0.0,SAT,,214.682,
22,22,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,201.002,
23,23,1,34.547031,0,1.7976931348623157E308,-1,0.0,0.0,1,34.547031,3,0.0,SAT,,213.428,
24,24,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,3,0.0,SAT,,197.134,
25,25,1,34.156914,0,1.7976931348623157E308,-1,0.0,0.0,1,34.156914,3,0.0,SAT,,218.255,
26,26,1,37.451235,0,1.7976931348623157E308,-1,0.0,0.0,1,37.451235,3,0.0,SAT,,211.462,
27,27,1,39.228435,0,1.7976931348623157E308,-1,0.0,0.0,1,39.228435,3,0.0,SAT,,212.214,
28,28,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,3,0.0,SAT,,191.355,
29,29,1,37.971391,0,1.7976931348623157E308,-1,0.0,0.0,1,37.971391,3,0.0,SAT,,215.457,
30,30,1,32.89987,0,1.7976931348623157E308,-1,0.0,0.0,1,32.89987,3,0.0,SAT,,212.467,
31,31,1,40.442133,0,1.7976931348623157E308,-1,0.0,0.0,1,40.442133,3,0.0,SAT,,212.518,
32,32,1,34.503684,0,1.7976931348623157E308,-1,0.0,0.0,1,34.503684,3,0.0,SAT,,213.943,
33,33,1,32.596446,0,1.7976931348623157E308,-1,0.0,0.0,1,32.596446,4,0.0,SAT,,214.848,
34,34,1,35.890767,0,1.7976931348623157E308,-1,0.0,0.0,1,35.890767,4,0.0,SAT,,217.532,
35,35,1,32.379714,0,1.7976931348623157E308,-1,0.0,0.0,1,32.379714,4,0.0,SAT,,214.518,
36,36,1,37.451235,0,1.7976931348623157E308,-1,0.0,0.0,1,37.451235,4,0.0,SAT,,218.628,
37,37,1,33.550065,0,1.7976931348623157E308,-1,0.0,0.0,1,33.550065,4,0.0,SAT,,217.195,
38,38,1,34.460338,0,1.7976931348623157E308,-1,0.0,0.0,1,34.460338,4,0.0,SAT,,214.521,
39,39,1,32.466407,0,1.7976931348623157E308,-1,0.0,0.0,1,32.466407,4,0.0,SAT,,214.022,
